from;to;distance
2217;2217;0.00
2217;2228;131.48
2217;1777;263.28
2217;1781;618.76
2217;1807;482.62
2217;2244;392.56
2217;1836;332.79
2217;1791;628.33
2217;2263;402.97
2217;2204;471.24
2217;2267;468.53
2217;1808;614.04
2217;1816;532.15
2217;1818;505.00
2217;1820;525.07
2217;1826;491.13
2217;2274;43.99
2217;1834;46.36
2217;2599;285.07
2217;2301;364.31
2217;2310;512.86
2217;2311;633.98
2217;3052;409.36
2217;2316;117.78
2217;1881;267.54
2217;1904;223.66
2217;2329;372.96
2217;3513;162.71
2217;1887;320.33
2217;1889;484.16
2217;1907;259.28
2217;1908;468.67
2217;2351;379.88
2217;2356;300.14
2217;2358;446.88
2217;1940;479.27
2217;1923;282.23
2217;2368;350.49
2217;2369;665.61
2228;2217;131.48
2228;2228;0.00
2228;1777;201.59
2228;1781;574.68
2228;1807;421.85
2228;2244;444.37
2228;1836;353.71
2228;1791;622.38
2228;2263;436.44
2228;2204;526.55
2228;2267;354.95
2228;1808;622.05
2228;1816;543.85
2228;1818;432.64
2228;1820;544.09
2228;1826;364.54
2228;2274;141.84
2228;1834;93.71
2228;2599;203.42
2228;2301;361.18
2228;2310;534.06
2228;2311;587.64
2228;3052;417.21
2228;2316;205.75
2228;1881;302.19
2228;1904;155.42
2228;2329;281.65
2228;3513;79.05
2228;1887;298.15
2228;1889;400.01
2228;1907;332.68
2228;1908;397.94
2228;2351;445.47
2228;2356;293.43
2228;2358;316.17
2228;1940;467.25
2228;1923;311.69
2228;2368;306.84
2228;2369;644.65
1777;2217;263.28
1777;2228;201.59
1777;1777;0.00
1777;1781;373.15
1777;1807;223.50
1777;2244;329.36
1777;1836;212.58
1777;1791;431.96
1777;2263;296.97
1777;2204;406.25
1777;2267;246.75
1777;1808;441.57
1777;1816;369.87
1777;1818;241.98
1777;1820;377.26
1777;1826;313.91
1777;2274;234.88
1777;1834;220.06
1777;2599;44.42
1777;2301;188.67
1777;2310;370.15
1777;2311;386.30
1777;3052;249.28
1777;2316;234.05
1777;1881;197.12
1777;1904;46.18
1777;2329;123.00
1777;3513;122.90
1777;1887;115.87
1777;1889;222.63
1777;1907;277.53
1777;1908;205.75
1777;2351;351.48
1777;2356;131.54
1777;2358;312.06
1777;1940;277.72
1777;1923;195.19
1777;2368;106.87
1777;2369;446.62
1781;2217;618.76
1781;2228;574.68
1781;1777;373.15
1781;1781;0.00
1781;1807;162.22
1781;2244;406.22
1781;1836;340.50
1781;1791;182.57
1781;2263;344.94
1781;2204;424.10
1781;2267;386.54
1781;1808;243.65
1781;1816;249.16
1781;1818;180.69
1781;1820;279.17
1781;1826;492.16
1781;2274;581.03
1781;1834;581.64
1781;2599;377.49
1781;2301;278.33
1781;2310;287.92
1781;2311;17.97
1781;3052;270.89
1781;2316;544.54
1781;1881;400.67
1781;1904;419.33
1781;2329;329.14
1781;3513;496.04
1781;1887;299.92
1781;1889;237.66
1781;1907;485.07
1781;1908;200.43
1781;2351;454.82
1781;2356;327.00
1781;2358;547.93
1781;1940;181.73
1781;1923;384.04
1781;2368;270.74
1781;2369;127.63
1807;2217;482.62
1807;2228;421.85
1807;1777;223.50
1807;1781;162.22
1807;1807;0.00
1807;2244;374.12
1807;1836;271.23
1807;1791;288.05
1807;2263;315.73
1807;2204;421.84
1807;2267;241.52
1807;1808;328.12
1807;1816;290.08
1807;1818;49.84
1807;1820;313.53
1807;1826;347.66
1807;2274;449.36
1807;1834;441.51
1807;2599;219.99
1807;2301;204.29
1807;2310;315.23
1807;2311;171.61
