id;city
2217;Augustów
2228;Bielsk Podlaski
1777;Błonie
1781;Bolków
1807;Byczyna
2244;Bytów
1836;Chełmno
1791;Cybinka
2263;Człuchów
2204;Darłowo
2267;Dąbrowa Tarnowska
1808;Dębno
1816;Dobiegniew
1818;Dobrodzień
1820;Drawno
1826;Dynów
2274;Ełk
1834;Goniądz
2599;Grójec
2301;Inowrocław
2310;Kalisz Pomorski
2311;Kamienna Góra
3052;Kcynia
2316;Kętrzyn
1881;Kisielice
1904;Kobyłka
2329;Końskie
3513;Kosów Lacki
1887;Kowal
1889;Koziegłowy
1907;Krynica Morska
1908;Krzepice
2351;Lębork
2356;Lipno
2358;Lubaczów
1940;Luboń
1923;Łasin
2368;Łęczyca
2369;Łęknica
